comment_id,comment,domain,sentiment_label
1,"The doctor responded quickly and the advice was spot on. Helped resolve my issue without an appointment.",general,positive
2,"Waited two days for a reply, and it was generic. Not impressed with the e-consult service.",general,negative
3,"Excellent guidance on my medication adjustment. Saved me a trip to the clinic.",medication,positive
4,"System glitches kept logging me out. Couldn't complete the consultation form.",technical,negative
5,"Very empathetic response from the specialist. Made me feel heard and cared for.",mental_health,positive
6,"No follow-up questions addressed. Felt like a rushed answer.",general,negative
7,"Integrated well with my EHR. Seamless experience overall.",integration,positive
8,"Advice contradicted my primary care doc. Confusing now.",general,negative
9,"Timely and detailed explanation of test results. Highly recommend.",diagnostics,positive
10,"Poor privacy features. Worried about data security in this module.",privacy,negative
11,"Transformed my chronic pain management plan effectively.",chronic_care,positive
12,"Response was too brief; needed more depth on side effects.",medication,negative
13,"User-friendly interface for uploading scans and notes.",usability,positive
14,"Specialist unavailable for weeks—defeats the purpose of e-consult.",availability,negative
15,"Personalized diet recommendations based on my query. Great job!",nutrition,positive
16,"Billing confusion after the consult. Unexpected charges appeared.",billing,negative
17,"Empowering for rural patients like me—no travel needed.",accessibility,positive
18,"Language barrier; responses in medical jargon I didn't understand.",communication,negative
19,"Accelerated my recovery with precise exercise suggestions.",rehab,positive
20,"App crashes frequently during submission. Frustrating!",technical,negative
21,"Holistic approach considering my full history. Impressive.",holistic_care,positive
22,"Ignored my allergy history in the recommendation. Dangerous oversight.",safety,negative
23,"Quick resolution to my skin condition query. Photos helped a lot.",dermatology,positive
24,"Overloaded server—couldn't access during peak hours.",technical,negative
25,"Built trust through clear, step-by-step instructions.",trust,positive
26,"No option for video clarification if needed. Limited.",features,negative
27,"Revolutionized my diabetes monitoring routine.",diabetes,positive
28,"Response delayed due to verification issues.",verification,negative
29,"Inclusive for non-English speakers with translation tools.",inclusivity,positive
30,"Generic template responses feel impersonal.",personalization,negative
31,"Outstanding support for post-op care queries.",post_op,positive
32,"Data entry errors not correctable mid-process.",usability,negative
33,"Empathetic handling of my anxiety concerns.",mental_health,positive
34,"High cost for premium specialist access.",cost,negative
35,"Streamlined referral process to in-person if required.",referrals,positive
36,"Outdated information on vaccine side effects.",accuracy,negative
37,"Convenient for busy parents managing kids' health.",pediatrics,positive
38,"Notification system unreliable—missed updates.",notifications,negative
39,"In-depth analysis of my sleep patterns data.",sleep,positive
40,"Privacy policy unclear on third-party sharing.",privacy,negative
41,"Tailored fitness plan post-injury. Spot on!",fitness,positive
42,"Slow loading times make it tedious to use.",performance,negative
43,"Collaborative input from multiple specialists.",collaboration,positive
44,"No mobile optimization—hard on phone.",mobile,negative
45,"Life-changing advice on managing hypertension.",hypertension,positive
46,"Form fields too restrictive for detailed symptoms.",usability,negative
47,"Responsive and adaptive to follow-up questions.",engagement,positive
48,"EHR integration failed; had to re-enter everything.",integration,negative
49,"Comprehensive allergy management strategy provided.",allergies,positive
50,"Weekend support lacking—urgent queries ignored.",availability,negative
51,"Visual aids in responses clarified complex topics.",education,positive
52,"Subscription model feels exploitative for basic access.",billing,negative
53,"Empowered self-management of my asthma.",asthma,positive
54,"AI suggestions sometimes inaccurate or irrelevant.",ai_assist,negative
55,"Seamless for elderly users with simple UI.",elderly,positive
56,"Long wait queue during flu season overload.",scalability,negative
57,"Precise dosing instructions avoided overdose risk.",safety,positive
58,"Feedback loop missing—no rating after consult.",feedback,negative
59,"Holistic mental wellness plan was transformative.",mental_health,positive
60,"Browser compatibility issues with Chrome updates.",technical,negative
61,"Rapid triage for emergency symptoms—saved time.",triage,positive
62,"Overly formal tone; lacks warmth.",communication,negative
63,"Integrated with wearables for real-time data.",wearables,positive
64,"No archive search for past consults.",search,negative
65,"Expert insights on rare disease symptoms.",rare_disease,positive
66,"Captcha verification too frequent and annoying.",usability,negative
67,"Customizable alert thresholds for monitoring.",customization,positive
68,"Misinterpreted my query on cultural dietary needs.",cultural,negative
69,"Efficient for travel medicine advice before trips.",travel,positive
70,"Server downtime without notice disrupted session.",reliability,negative
71,"Patient-centered focus on quality of life.",qol,positive
72,"Limited file upload size for lab reports.",features,negative
73,"Proactive suggestions for preventive screenings.",prevention,positive
